Specialist Task,Specialist Cluster,Cluster Family
Capture or kill animals,"Trap, capture or kill animals",Agriculture and animals
Locate animals for fishing or hunting purposes,"Trap, capture or kill animals",Agriculture and animals
Plan trapping or hunting activities,"Trap, capture or kill animals",Agriculture and animals
Position animal trapping or capture equipment,"Trap, capture or kill animals",Agriculture and animals
Treat facilities to eliminate pests,Treat facilities to eliminate pests,Agriculture and animals
"Inspect condition, or functioning, of facilities or equipment","Inspect, test or maintain equipment or systems",Quality control and inspections
Inspect aircraft or aircraft components,"Inspect, test or maintain equipment or systems",Quality control and inspections
Monitor engine operation or functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Test performance of aircraft equipment,"Inspect, test or maintain equipment or systems",Quality control and inspections
Calibrate scientific or technical equipment,"Inspect, test or maintain equipment or systems",Quality control and inspections
Maintain electronic equipment,"Inspect, test or maintain equipment or systems",Quality control and inspections
Evaluate characteristics of equipment or systems,"Inspect, test or maintain equipment or systems",Quality control and inspections
"Test performance of electrical, electronic, mechanical, or integrated systems or equipment","Inspect, test or maintain equipment or systems",Quality control and inspections
Test electrical equipment or systems to ensure proper functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Conduct test runs of production equipment,"Inspect, test or maintain equipment or systems",Quality control and inspections
Inspect industrial or commercial equipment to ensure proper operation,"Inspect, test or maintain equipment or systems",Quality control and inspections
Monitor equipment operation to ensure no flaws,"Inspect, test or maintain equipment or systems",Quality control and inspections
Adjust equipment for optimal performance,"Inspect, test or maintain equipment or systems",Quality control and inspections
Test electrical circuits or components for proper functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Analyse test or performance data to assess equipment operation,"Inspect, test or maintain equipment or systems",Quality control and inspections
Inspect telecommunications equipment to identify problems,"Inspect, test or maintain equipment or systems",Quality control and inspections
Lubricate equipment to allow proper functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Test communications equipment to ensure proper functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Monitor equipment operation to ensure proper functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Assess equipment functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Maintain equipment or systems to ensure proper functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Inspect equipment to ensure proper functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Inspect equipment to ensure safety or proper functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Watch equipment in operation to detect malfunctions,"Inspect, test or maintain equipment or systems",Quality control and inspections
Inspect production equipment,"Inspect, test or maintain equipment or systems",Quality control and inspections
Inspect material-moving equipment to detect problems,"Inspect, test or maintain equipment or systems",Quality control and inspections
Test mechanical systems to ensure proper functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Test mechanical equipment to ensure proper functioning,"Inspect, test or maintain equipment or systems",Quality control and inspections
Conduct validation tests of equipment or processes,"Inspect, test or maintain equipment or systems",Quality control and inspections
Inspect equipment or systems,"Inspect, test or maintain equipment or systems",Quality control and inspections
Measure equipment outputs,"Inspect, test or maintain equipment or systems",Quality control and inspections
Observe equipment in operation to detect potential problems,"Inspect, test or maintain equipment or systems",Quality control and inspections
Inspect communications or broadcasting equipment,"Inspect, test or maintain equipment or systems",Quality control and inspections
Inspect equipment to locate or identify electrical problems,"Inspect, test or maintain equipment or systems",Quality control and inspections
Maintain sustainable energy production equipment,"Inspect, test or maintain equipment or systems",Quality control and inspections
Inspect locomotives or other railway equipment,"Inspect, test or maintain equipment or systems",Quality control and inspections
Test fire protection equipment and systems,"Inspect, test or maintain equipment or systems",Quality control and inspections
Install fire protection equipment and systems,"Inspect, test or maintain equipment or systems",Quality control and inspections
Maintain knowledge of aircraft specifications and flight safety procedures,"Inspect, test or maintain equipment or systems",Quality control and inspections
Evaluate characteristics of products,"Inspect, test or maintain equipment or systems",Quality control and inspections
Maintain test equipment,"Inspect, test or maintain equipment or systems",Quality control and inspections
Examine condition of property or products,"Inspect products, equipment or facilities",Quality control and inspections
Inspect facilities or equipment to ensure specifications are met,"Inspect products, equipment or facilities",Quality control and inspections
Inspect facilities or sites to determine if they meet specifications or standards,"Inspect products, equipment or facilities",Quality control and inspections
Test products for functionality or quality,"Inspect products, equipment or facilities",Quality control and inspections
Inspect products or operations to ensure that standards are met,"Inspect products, equipment or facilities",Quality control and inspections
Inspect completed work to ensure proper installation,"Inspect products, equipment or facilities",Quality control and inspections
Inspect completed work to ensure proper functioning,"Inspect products, equipment or facilities",Quality control and inspections
Inspect work sites to determine condition or necessary repairs,"Inspect products, equipment or facilities",Quality control and inspections
"Inspect facilities, equipment or supplies to ensure conformance to standards","Inspect products, equipment or facilities",Quality control and inspections
"Ensure passenger compliance with vehicle safety, regulations and standards","Inspect products, equipment or facilities",Quality control and inspections
Inspect facilities,"Inspect products, equipment or facilities",Quality control and inspections
Inspect sustainable energy production facilities or equipment,"Inspect products, equipment or facilities",Quality control and inspections
Inspect sets or exhibits,"Inspect products, equipment or facilities",Quality control and inspections
Inspect buildings or grounds to determine condition,"Inspect products, equipment or facilities",Quality control and inspections
Monitor equipment gauges or displays,"Monitor equipment, procedures and systems",Quality control and inspections
Monitor operational procedures in technical environments,"Monitor equipment, procedures and systems",Quality control and inspections
Monitor computer system performance to ensure proper operation,"Monitor equipment, procedures and systems",Quality control and inspections
Inspect systems to determine if they are operating properly,"Monitor equipment, procedures and systems",Quality control and inspections
Maintain office equipment in proper operating condition,"Monitor equipment, procedures and systems",Quality control and inspections
Monitor instruments to ensure proper production conditions,"Monitor equipment, procedures and systems",Quality control and inspections
Adjust office equipment,"Monitor equipment, procedures and systems",Quality control and inspections
Inspect gas systems or components to identify hazards,"Monitor equipment, procedures and systems",Quality control and inspections
Inspect finished products to locate flaws,Inspect items for damage or defects,Quality control and inspections
Inspect electrical or electronic systems for defects,Inspect items for damage or defects,Quality control and inspections
Inspect items for damage or defects,Inspect items for damage or defects,Quality control and inspections
"Inspect garments, fabrics or textile products for defects, damage or stains",Inspect items for damage or defects,Quality control and inspections
Inspect vehicles to determine overall condition,Inspect items for damage or defects,Quality control and inspections
"Inspect mechanical equipment to locate damage, defects or wear",Inspect items for damage or defects,Quality control and inspections
Disassemble equipment to inspect for deficiencies,Inspect items for damage or defects,Quality control and inspections
Inspect mechanical components of vehicles to identify problems,Inspect items for damage or defects,Quality control and inspections
Inspect structural components of vehicles to identify problems,Inspect items for damage or defects,Quality control and inspections
Inspect lumber or raw woodstock,Inspect items for damage or defects,Quality control and inspections
Inspect installed components or assemblies,Inspect items for damage or defects,Quality control and inspections
Inspected printed materials or other images to verify quality,Inspect product quality or specifications,Quality control and inspections
Verify information or specifications,Inspect product quality or specifications,Quality control and inspections
Inspect plastic or composite products,Inspect product quality or specifications,Quality control and inspections
Inspect metal products,Inspect product quality or specifications,Quality control and inspections
Smooth surfaces of objects or equipment,Inspect or prepare finished products,Quality control and inspections
"Polish materials, work pieces or finished products",Inspect or prepare finished products,Quality control and inspections
Trim excess material from work pieces,Inspect or prepare finished products,Quality control and inspections
Smooth surfaces with abrasive materials or tools,Inspect or prepare finished products,Quality control and inspections
Prepare surfaces for finishing,Inspect or prepare finished products,Quality control and inspections
Apply material to fill gaps in surfaces,Inspect or prepare finished products,Quality control and inspections
Trim excess material from installations,Inspect or prepare finished products,Quality control and inspections
Weigh products or materials,Inspect or prepare finished products,Quality control and inspections
Inspect finishes of work pieces or finished products,Inspect or prepare finished products,Quality control and inspections
Apply parting agents or other solutions to moulds,Inspect or prepare finished products,Quality control and inspections
Collect samples of raw materials or finished products,Inspect or prepare finished products,Quality control and inspections
Perform manual service or maintenance tasks,Perform maintenance or inspections,Production processes and machinery
Maintain recording or broadcasting equipment,Perform maintenance or inspections,Production processes and machinery
Inspect materials or equipment to determine need for repair or replacement,Perform maintenance or inspections,Production processes and machinery
Maintain locomotives or other rail equipment in good working condition,Perform maintenance or inspections,Production processes and machinery
Maintain construction tools or equipment,Perform maintenance or inspections,Production processes and machinery
Maintain production or processing equipment,Perform maintenance or inspections,Production processes and machinery
Travel to work sites,Perform maintenance or inspections,Production processes and machinery
Maintain work equipment or machinery,Perform maintenance or inspections,Production processes and machinery
Operate grounds maintenance equipment,Perform maintenance or inspections,Production processes and machinery
Monitor availability of equipment or supplies,Perform maintenance or inspections,Production processes and machinery
Perform basic equipment maintenance,Perform maintenance or inspections,Production processes and machinery
Report maintenance or equipment problems to appropriate personnel,Perform maintenance or inspections,Production processes and machinery
Maintain material moving equipment in good working condition,Perform maintenance or inspections,Production processes and machinery
Maintain mechanical equipment,Perform maintenance or inspections,Production processes and machinery
"Record information about parts, materials or repair procedures",Perform maintenance or inspections,Production processes and machinery
Install piping for installation or maintenance activities,Perform maintenance or inspections,Production processes and machinery
Calculate requirements for equipment installation or repair projects,Perform maintenance or inspections,Production processes and machinery
Maintain firefighting tools or equipment,Perform maintenance or inspections,Production processes and machinery
Maintain drilling equipment,Perform maintenance or inspections,Production processes and machinery
Inspect equipment or facilities to determine condition or maintenance needs,Perform maintenance or inspections,Production processes and machinery
Determine technical requirements of productions or projects,Develop and review technical designs and processes,Production processes and machinery
Compile technical information or documentation,Develop and review technical designs and processes,Production processes and machinery
Review details of technical drawings or specifications,Develop and review technical designs and processes,Production processes and machinery
Document technical design details,Develop and review technical designs and processes,Production processes and machinery
Create electrical schematics,Develop and review technical designs and processes,Production processes and machinery
Document technical specifications or requirements,Develop and review technical designs and processes,Production processes and machinery
Develop technical methods or processes,Develop and review technical designs and processes,Production processes and machinery
Design industrial processing systems,Develop and review technical designs and processes,Production processes and machinery
Create models of engineering designs or methods,Develop and review technical designs and processes,Production processes and machinery
"Explain engineering drawings, specifications or other technical information",Develop and review technical designs and processes,Production processes and machinery
Develop technical specifications for systems or equipment,Develop and review technical designs and processes,Production processes and machinery
Develop new or advanced products or production methods,Develop and review technical designs and processes,Production processes and machinery
Supervise technical operations of production to ensure creative direction is realised,Develop and review technical designs and processes,Production processes and machinery
Design medical devices or appliances,"Design, repair or fabricate medical equipment",Production processes and machinery
Fabricate medical devices,"Design, repair or fabricate medical equipment",Production processes and machinery
Repair medical facility equipment,"Design, repair or fabricate medical equipment",Production processes and machinery
Fabricate products or components using machine tools,Design or assemble equipment and systems,Production processes and machinery
"Drill holes in parts, equipment or materials",Design or assemble equipment and systems,Production processes and machinery
Assemble electromechanical or hydraulic systems,Design or assemble equipment and systems,Production processes and machinery
Assemble mechanical components or machine parts,Design or assemble equipment and systems,Production processes and machinery
"Assemble machine tools, parts or fixtures",Design or assemble equipment and systems,Production processes and machinery
Design control systems for mechanical or other equipment,Design or assemble equipment and systems,Production processes and machinery
Design industrial equipment,Design or assemble equipment and systems,Production processes and machinery
Design electromechanical equipment or systems,Design or assemble equipment and systems,Production processes and machinery
Create graphical representations of mechanical equipment,Design or assemble equipment and systems,Production processes and machinery
Attach equipment extensions or accessories,Design or assemble equipment and systems,Production processes and machinery
Assemble equipment or components,"Fabricate, assemble or install components",Production processes and machinery
Fabricate parts or components,"Fabricate, assemble or install components",Production processes and machinery
Install vehicle parts or accessories,"Fabricate, assemble or install components",Production processes and machinery
Assemble temporary equipment or structures,"Fabricate, assemble or install components",Production processes and machinery
Mount attachments or tools onto production equipment,"Fabricate, assemble or install components",Production processes and machinery
"Position equipment using hand tools, power tools or heavy equipment","Fabricate, assemble or install components",Production processes and machinery
Align equipment or machinery,"Fabricate, assemble or install components",Production processes and machinery
Install mechanical components in production equipment,"Fabricate, assemble or install components",Production processes and machinery
Solder parts or work pieces,"Fabricate, assemble or install components",Production processes and machinery
"Install parts, assemblies or attachments in transportation or material-handling equipment","Fabricate, assemble or install components",Production processes and machinery
Bolt objects into place,"Fabricate, assemble or install components",Production processes and machinery
Install hardware or other interior fixtures,"Fabricate, assemble or install components",Production processes and machinery
Load materials into construction equipment,"Fabricate, assemble or install components",Production processes and machinery
Install equipment attachments or components,"Fabricate, assemble or install components",Production processes and machinery
Bind products or materials,"Fabricate, assemble or install components",Production processes and machinery
Assemble plastic or rubber parts or products,"Fabricate, assemble or install components",Production processes and machinery
"Clean or repair equipment, parts or tools",Repair equipment and electronics,Production processes and machinery
Repair electrical components,Repair equipment and electronics,Production processes and machinery
Repair electronic equipment,Repair equipment and electronics,Production processes and machinery
Disassemble equipment for maintenance or repair,Repair equipment and electronics,Production processes and machinery
Install machine or equipment replacement parts,Repair equipment and electronics,Production processes and machinery
Repair electrical equipment,Repair equipment and electronics,Production processes and machinery
Repair electrical circuits or wiring,Repair equipment and electronics,Production processes and machinery
Repair production equipment or tools,Repair equipment and electronics,Production processes and machinery
Repair precision devices or work pieces,Repair equipment and electronics,Production processes and machinery
Locate equipment or materials in need of repair or replacement,Repair equipment and electronics,Production processes and machinery
Reassemble equipment after repair,Repair equipment and electronics,Production processes and machinery
Monitor lubrication of equipment or work pieces,Repair equipment and electronics,Production processes and machinery
Repair green energy equipment or systems,Repair equipment and electronics,Production processes and machinery
Assemble products or production equipment,Operate production equipment and make products,Production processes and machinery
Manoeuvre work pieces in equipment during production,Operate production equipment and make products,Production processes and machinery
Mount materials or work pieces onto production equipment,Operate production equipment and make products,Production processes and machinery
Operate grinding equipment,Operate production equipment and make products,Production processes and machinery
Load materials into production equipment,Operate production equipment and make products,Production processes and machinery
Operate food processing equipment,Operate production equipment and make products,Production processes and machinery
Program equipment to perform production tasks,Operate production equipment and make products,Production processes and machinery
Feed materials or products into or through equipment,Operate production equipment and make products,Production processes and machinery
Connect supply lines to production equipment or tools,Operate production equipment and make products,Production processes and machinery
Position raw materials on processing or production equipment,Operate production equipment and make products,Production processes and machinery
Install production equipment or systems,Operate production equipment and make products,Production processes and machinery
Operate industrial equipment,Operate production equipment and make products,Production processes and machinery
Operate equipment to print images or bind printed images together,Operate production equipment and make products,Production processes and machinery
Operate energy production equipment,Operate production equipment and make products,Production processes and machinery
Load materials into equipment for processing,Operate production equipment and make products,Production processes and machinery
Operate conveyors or other industrial material moving equipment,Operate production equipment and make products,Production processes and machinery
Assist machine operators,Operate production equipment and make products,Production processes and machinery
Operate extruding machines to produce rods or encase materials in plastic or rubber,Operate production equipment and make products,Production processes and machinery
Fabricate fibreglass products or materials,Operate production equipment and make products,Production processes and machinery
Produce or shape glass,Operate production equipment and make products,Production processes and machinery
Shape wet or dry concrete,Operate production equipment and make products,Production processes and machinery
Operate plastic or rubber forming equipment,Operate production equipment and make products,Production processes and machinery
Operate natural gas generation equipment,Operate production equipment and make products,Production processes and machinery
Operate cutting equipment,Operate textile production equipment,Production processes and machinery
Operate sewing equipment,Operate textile production equipment,Production processes and machinery
Operate textile or leather cutting or production equipment,Operate textile production equipment,Production processes and machinery
Operate fabric treatment equipment,Operate textile production equipment,Production processes and machinery
"Assemble, form and finish footwear",Operate textile production equipment,Production processes and machinery
Adjust vehicle components according to specifications,Set equipment or components to specifications,Production processes and machinery
Adjust equipment controls to regulate flow of production,Set equipment or components to specifications,Production processes and machinery
Verify alignment of structures or equipment,Set equipment or components to specifications,Production processes and machinery
"Enter commands, instructions, or specifications into equipment",Set equipment or components to specifications,Production processes and machinery
Set equipment controls to meet cutting specifications,Set equipment or components to specifications,Production processes and machinery
Signal equipment operators to indicate proper equipment positioning,Set equipment or components to specifications,Production processes and machinery
Calibrate equipment,Set equipment or components to specifications,Production processes and machinery
Program equipment to undertake paper or pulp processing,Set equipment or components to specifications,Production processes and machinery
Adjust flow of electricity to tools or production equipment,Set equipment or components to specifications,Production processes and machinery
Operate welding equipment,Metal fabrication and tool operation,Production processes and machinery
Smooth metal surfaces or edges,Metal fabrication and tool operation,Production processes and machinery
Cut metal components,Metal fabrication and tool operation,Production processes and machinery
Install metal structural components,Metal fabrication and tool operation,Production processes and machinery
Shape metal work pieces with hammers or other small hand tools,Metal fabrication and tool operation,Production processes and machinery
Weld metal components,Metal fabrication and tool operation,Production processes and machinery
Sharpen cutting or grinding tools,Metal fabrication and tool operation,Production processes and machinery
Assemble metal structures,Metal fabrication and tool operation,Production processes and machinery
Operate metal forming equipment,Metal fabrication and tool operation,Production processes and machinery
Assemble metal parts or products,Metal fabrication and tool operation,Production processes and machinery
"Remove dents from equipment, materials tools or structures",Repair parts or components,Production processes and machinery
"Fill cracks, imperfections or holes in products or work pieces",Repair parts or components,Production processes and machinery
Repair furniture or upholstery,Repair parts or components,Production processes and machinery
"Repair templates, patterns or moulds",Repair parts or components,Production processes and machinery
Repair parts or assemblies,Repair parts or components,Production processes and machinery
Rebuild parts or components,Repair parts or components,Production processes and machinery
Refinish wood or metal surfaces,Repair parts or components,Production processes and machinery
Repair structural components,Repair parts or components,Production processes and machinery
Disable door locks,Repair parts or components,Production processes and machinery
Review blueprints or specifications to determine work requirements,Study or review blueprints,Production processes and machinery
"Interpret blueprints, specifications or diagrams",Study or review blueprints,Production processes and machinery
Review blueprints or other instructions to determine operational methods or sequences,Study or review blueprints,Production processes and machinery
Study blueprints or other instructions to determine equipment setup requirements,Study or review blueprints,Production processes and machinery
"Cut carpet, vinyl or other flexible materials",Undertake textile production,Production processes and machinery
Adjust fabrics or other materials during garment production or processing,Undertake textile production,Production processes and machinery
Assemble garments or textile products,Undertake textile production,Production processes and machinery
"Cut fabrics, textiles, leather or hide",Undertake textile production,Production processes and machinery
Prepare fabrics or materials for processing or production,Undertake textile production,Production processes and machinery
Repair textiles or apparel,Undertake textile production,Production processes and machinery
Sew products,Undertake textile production,Production processes and machinery
"Inspect textile, hide or leather products",Undertake textile production,Production processes and machinery
Select fabric patterns and materials,Undertake textile production,Production processes and machinery
Finish and tan leather,Undertake textile production,Production processes and machinery
"Apply dyes to fabrics, textiles or leather",Undertake textile production,Production processes and machinery
"Repair worn, damaged, or defective mechanical parts",Repair mechanical parts or equipment,Production processes and machinery
"Replace worn, damaged or defective mechanical parts",Repair mechanical parts or equipment,Production processes and machinery
Replace worn equipment components,Repair mechanical parts or equipment,Production processes and machinery
Repair defective engines or engine components,Repair mechanical parts or equipment,Production processes and machinery
Replace or repair non-engine automotive or vehicle components,Repair mechanical parts or equipment,Production processes and machinery
Diagnose equipment malfunctions,Repair mechanical parts or equipment,Production processes and machinery
"Repair, replace, test, or rotate tires",Repair mechanical parts or equipment,Production processes and machinery
"Determine types of equipment, tools, or materials needed for jobs",Determining and configuring equipment and components,Production processes and machinery
"Position patterns on equipment, materials or work pieces",Determining and configuring equipment and components,Production processes and machinery
Analyse design or requirements information for mechanical equipment or systems,Determining and configuring equipment and components,Production processes and machinery
"Select tools, equipment, or technologies for use in operations or projects",Determining and configuring equipment and components,Production processes and machinery
Develop equipment or component configurations,Determining and configuring equipment and components,Production processes and machinery
"Design tools, fixtures or other devices for production equipment",Determining and configuring equipment and components,Production processes and machinery
Load items into ovens or furnaces,Load items into ovens or furnaces,Production processes and machinery
"Shape, mould or cast clay",Shape clay to create products,Production processes and machinery
Produce clay or ceramics products,Shape clay to create products,Production processes and machinery
Skim impurities from molten metal,Produce metal products,Production processes and machinery
Cut plastic components,Plastic fabrication and tool operation,Production processes and machinery
Weld plastic components,Plastic fabrication and tool operation,Production processes and machinery
Direct facility maintenance or repair activities,Maintain facilities and conduct repairs,Cleaning and maintenance
Arrange maintenance activities,Maintain facilities and conduct repairs,Cleaning and maintenance
Direct equipment maintenance or repair activities,Maintain facilities and conduct repairs,Cleaning and maintenance
Schedule equipment maintenance,Maintain facilities and conduct repairs,Cleaning and maintenance
Maintain facilities,Maintain facilities and conduct repairs,Cleaning and maintenance
Record service or repair activities,Maintain facilities and conduct repairs,Cleaning and maintenance
Maintain repair or maintenance records,Maintain facilities and conduct repairs,Cleaning and maintenance
Direct maintenance or repair activities,Maintain facilities and conduct repairs,Cleaning and maintenance
Maintain or repair plumbing or drainage structures or fixtures,Maintain facilities and conduct repairs,Cleaning and maintenance
Estimate maintenance service requirements or costs,Maintain facilities and conduct repairs,Cleaning and maintenance
Supervise maintenance workers,Maintain facilities and conduct repairs,Cleaning and maintenance
Clean medical equipment or facilities,Clean medical equipment or facilities,Cleaning and maintenance
Clean medical equipment,Clean medical equipment or facilities,Cleaning and maintenance
Clean patient rooms or patient treatment rooms,Clean medical equipment or facilities,Cleaning and maintenance
Dispose of biomedical waste in accordance with standards,Clean medical equipment or facilities,Cleaning and maintenance
Maintain sterile operative fields,Clean medical equipment or facilities,Cleaning and maintenance
Apply water or solutions to fabrics or apparel,"Clean or prepare garments, linen, or other fabrics",Cleaning and maintenance
Smooth garments,"Clean or prepare garments, linen, or other fabrics",Cleaning and maintenance
"Clean carpet, rugs, upholstery or drapery","Clean or prepare garments, linen, or other fabrics",Cleaning and maintenance
"Load and unload washing or drycleaning machines, driers and extractors","Clean or prepare garments, linen, or other fabrics",Cleaning and maintenance
Operate pressing and ironing machines,"Clean or prepare garments, linen, or other fabrics",Cleaning and maintenance
"Sort, wash, dry or iron fabric, linen and clothes","Clean or prepare garments, linen, or other fabrics",Cleaning and maintenance
Strip and make beds and change bed linen,"Clean or prepare garments, linen, or other fabrics",Cleaning and maintenance
Clean production equipment,"Clean equipment, tools, or work pieces",Cleaning and maintenance
Clean tools or equipment,"Clean equipment, tools, or work pieces",Cleaning and maintenance
Clean equipment or facilities,"Clean equipment, tools, or work pieces",Cleaning and maintenance
Clean work pieces or finished products,"Clean equipment, tools, or work pieces",Cleaning and maintenance
Clean materials to prepare them for production,"Clean equipment, tools, or work pieces",Cleaning and maintenance
Clean machinery or equipment,"Clean equipment, tools, or work pieces",Cleaning and maintenance
Clean vehicles or vehicle components,"Clean equipment, tools, or work pieces",Cleaning and maintenance
Clean equipment or supplies,"Clean equipment, tools, or work pieces",Cleaning and maintenance
Clean furniture or fixtures,"Clean equipment, tools, or work pieces",Cleaning and maintenance
Clean objects,"Clean equipment, tools, or work pieces",Cleaning and maintenance
Inspect facilities for cleanliness,Assess requirements for cleaning or maintenance activities,Cleaning and maintenance
"Select equipment, materials or supplies for cleaning or maintenance activities",Assess requirements for cleaning or maintenance activities,Cleaning and maintenance
Assess cleaning requirements,Assess requirements for cleaning or maintenance activities,Cleaning and maintenance
Clean work areas,"Clean work areas, buildings and facilities",Cleaning and maintenance
Clean work sites,"Clean work areas, buildings and facilities",Cleaning and maintenance
Clean surfaces before commencing work,"Clean work areas, buildings and facilities",Cleaning and maintenance
"Clean food preparation areas, facilities or equipment","Clean work areas, buildings and facilities",Cleaning and maintenance
Clean work areas or facilities,"Clean work areas, buildings and facilities",Cleaning and maintenance
Perform housekeeping duties,"Clean work areas, buildings and facilities",Cleaning and maintenance
Clean facilities or sites,"Clean work areas, buildings and facilities",Cleaning and maintenance
Clean facilities or work areas,"Clean work areas, buildings and facilities",Cleaning and maintenance
Maintain clean work areas,"Clean work areas, buildings and facilities",Cleaning and maintenance
Clean walls or flooring,"Clean work areas, buildings and facilities",Cleaning and maintenance
Clean windows or glass surfaces,"Clean work areas, buildings and facilities",Cleaning and maintenance
Clean toilet and bathroom areas,"Clean work areas, buildings and facilities",Cleaning and maintenance
Operate cleaning or polishing equipment for floors and other surfaces,"Clean work areas, buildings and facilities",Cleaning and maintenance
Apply protective coverings to objects or surfaces near work areas,"Clean work areas, buildings and facilities",Cleaning and maintenance
Dispose of rubbish or waste materials,Dispose of waste and remove materials from work sites,Cleaning and maintenance
"Remove worn, damaged or outdated materials from work areas",Dispose of waste and remove materials from work sites,Cleaning and maintenance
Remove debris or vegetation from work sites,Dispose of waste and remove materials from work sites,Cleaning and maintenance
Remove excess materials from finished construction projects,Dispose of waste and remove materials from work sites,Cleaning and maintenance
Remove debris from work sites,Dispose of waste and remove materials from work sites,Cleaning and maintenance
Remove debris or damaged materials,Dispose of waste and remove materials from work sites,Cleaning and maintenance
Monitor organisational compliance with regulations,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Determine operational compliance with regulations or standards,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
"Develop safety standards, policies or procedures","Monitor compliance with regulations, standards or procedures",Safety and hazard management
Monitor activities of individuals to ensure safety or compliance with rules,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Monitor organisational procedures to ensure proper functioning,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Monitor operational quality or safety,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Inspect facilities to ensure compliance with security or safety regulations,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Follow safety procedures for vehicle operation,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Evaluate staff practices to ensure adherence to regulations,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Manage documentation to ensure organisation or accuracy,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Monitor operational activities to ensure compliance with regulations or standard operating procedures,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Coordinate safety or regulatory compliance activities,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Monitor processes for compliance with standards,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Monitor operations to ensure compliance with safety or security policies or regulations,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Communicate safety or hazard information to others,"Monitor compliance with regulations, standards or procedures",Safety and hazard management
Investigate industrial or transportation accidents,Investigate equipment and systems malfunctions and failures,Safety and hazard management
Report vehicle or equipment malfunctions,Investigate equipment and systems malfunctions and failures,Safety and hazard management
"Investigate system, equipment or product failures",Investigate equipment and systems malfunctions and failures,Safety and hazard management
Troubleshoot equipment or systems operation problems,Investigate equipment and systems malfunctions and failures,Safety and hazard management
Operate transportation equipment to demonstrate function or malfunction,Investigate equipment and systems malfunctions and failures,Safety and hazard management
Monitor work areas to provide security,Inspect work environment to ensure safety and compliance,Safety and hazard management
Monitor work environment to ensure safety or adherence to specifications,Inspect work environment to ensure safety and compliance,Safety and hazard management
Protect structures or surfaces near work areas to avoid damage,Inspect work environment to ensure safety and compliance,Safety and hazard management
Monitor work areas or procedures to ensure compliance with safety procedures,Inspect work environment to ensure safety and compliance,Safety and hazard management
Inspect facilities to ensure compliance with fire regulations,Inspect work environment to ensure safety and compliance,Safety and hazard management
Monitor building premises to ensure occupant or visitor safety,Inspect work environment to ensure safety and compliance,Safety and hazard management
Investigate safety of work environment,Inspect work environment to ensure safety and compliance,Safety and hazard management
Inspect work environments to ensure safety,Inspect work environment to ensure safety and compliance,Safety and hazard management
Inspect work sites to identify potential environmental or safety hazards,Inspect work environment to ensure safety and compliance,Safety and hazard management
Test air quality at work sites,Inspect work environment to ensure safety and compliance,Safety and hazard management
Research product safety,Inspect work environment to ensure safety and compliance,Safety and hazard management
Assess compliance with environmental laws,Inspect work environment to ensure safety and compliance,Safety and hazard management
Gather information about work conditions or locations,Inspect work environment to ensure safety and compliance,Safety and hazard management
"Notify others of emergencies, problems or hazards","Undertake health, safety or hazard management and education activities",Safety and hazard management
Advise others on management of emergencies or hazardous situations or materials,"Undertake health, safety or hazard management and education activities",Safety and hazard management
Advise communities or institutions regarding health or safety issues,"Undertake health, safety or hazard management and education activities",Safety and hazard management
Monitor patron activities to identify problems or potential problems,"Undertake health, safety or hazard management and education activities",Safety and hazard management
Assist customers to ensure comfort or safety,"Undertake health, safety or hazard management and education activities",Safety and hazard management
Advise others on health and safety issues,"Undertake health, safety or hazard management and education activities",Safety and hazard management
Educate the public about fire safety or prevention,"Undertake health, safety or hazard management and education activities",Safety and hazard management
Monitor access or flow of people to prevent problems,"Undertake health, safety or hazard management and education activities",Safety and hazard management
Warn individuals about rule violations or safety concerns,"Undertake health, safety or hazard management and education activities",Safety and hazard management
Apply fatigue management strategies,"Undertake health, safety or hazard management and education activities",Safety and hazard management
Prevent and control infections according to policies and procedures,"Undertake health, safety or hazard management and education activities",Safety and hazard management
Install equipment to protect or support trees,Install barriers or support equipment,Safety and hazard management
Install fencing or other barriers,Install barriers or support equipment,Safety and hazard management
